text,label
I cannot export CSV,technical_issue
Can mobile app support be added in a future release?,feature_request
I noticed an unexpected charge on my account,billing
I was charged twice for my premium plan in March,billing
I cannot upload files,technical_issue
The quality of the product is unacceptable,complaint
reset my password keeps failing,technical_issue
The quality of the product is unacceptable,complaint
Do you offer enterprise pricing?,other
I cannot reset my password,technical_issue
The application crashes when I try to upload files,technical_issue
The application crashes when I try to download reports,technical_issue
The application crashes when I try to upload files,technical_issue
I am disappointed with the service,complaint
I am disappointed with the service,complaint
Where can I find documentation?,other
I noticed an unexpected charge on my account,billing
I am very frustrated because the application crashes frequently,complaint
The application crashes when I try to download reports,technical_issue
Where is your company located?,other
Where is your company located?,other
Where can I find documentation?,other
download reports is not working,technical_issue
I would like Slack integration,feature_request
I was charged twice for my enterprise plan in February,billing
I noticed an unexpected charge on my account,billing
I receive an error while trying to upload files,technical_issue
I cannot download reports,technical_issue
Can dark mode be added in a future release?,feature_request
Can PDF export be added in a future release?,feature_request
The application crashes when I try to download reports,technical_issue
Where can I find documentation?,other
I cannot upload files,technical_issue
Do you offer enterprise pricing?,other
My refund for the enterprise plan has not arrived,billing
Your support team has been unhelpful,complaint
Please add dark mode,feature_request
How do I contact sales?,other
export CSV keeps failing,technical_issue
Do you offer enterprise pricing?,other
The quality of the product is unacceptable,complaint
I cannot login,technical_issue
Please add mobile app support,feature_request
Where is your company located?,other
How do I contact sales?,other
Can you support email notifications?,feature_request
Do you offer enterprise pricing?,other
I cannot upload files,technical_issue
How do I contact sales?,other
I would like dark mode,feature_request
I was charged twice for my enterprise plan in April,billing
Do you offer enterprise pricing?,other
export CSV is not working,technical_issue
Your support team has been unhelpful,complaint
I am very frustrated because the dashboard keeps breaking,complaint
The invoice amount for my enterprise plan is incorrect,billing
It would be helpful to have dark mode,feature_request
Why was I billed again for the monthly package?,billing
I receive an error while trying to login,technical_issue
I was charged twice for my enterprise plan in February,billing
export CSV is not working,technical_issue
Where can I find documentation?,other
It would be helpful to have dark mode,feature_request
Where can I find documentation?,other
How do I contact sales?,other
Please add email notifications,feature_request
I would like dark mode,feature_request
I receive an error while trying to download reports,technical_issue
I noticed an unexpected charge on my account,billing
The quality of the product is unacceptable,complaint
Please add email notifications,feature_request
This has been a terrible experience,complaint
I was charged twice for my enterprise plan in February,billing
upload files keeps failing,technical_issue
Can dark mode be added in a future release?,feature_request
How do I contact sales?,other
Please add PDF export,feature_request
How do I contact sales?,other
Where can I find documentation?,other
Please add dark mode,feature_request
Do you offer enterprise pricing?,other
The application crashes when I try to reset my password,technical_issue
The invoice amount for my enterprise plan is incorrect,billing
Can you support mobile app support?,feature_request
I am very frustrated because the product is unreliable,complaint
The quality of the product is unacceptable,complaint
The quality of the product is unacceptable,complaint
Where is your company located?,other
I am disappointed with the service,complaint
I would like dark mode,feature_request
I would like Slack integration,feature_request
download reports keeps failing,technical_issue
I would like mobile app support,feature_request
I am very frustrated because the service is too slow,complaint
It would be helpful to have Slack integration,feature_request
I receive an error while trying to login,technical_issue
How do I contact sales?,other
I am disappointed with the service,complaint
I am very frustrated because the product is unreliable,complaint
I cannot upload files,technical_issue
The application crashes when I try to upload files,technical_issue
export CSV is not working,technical_issue
upload files is not working,technical_issue
I receive an error while trying to upload files,technical_issue
The invoice amount for my enterprise plan is incorrect,billing
How do I contact sales?,other
Where can I find documentation?,other
What are your business hours?,other
The quality of the product is unacceptable,complaint
Can you support email notifications?,feature_request
Your support team has been unhelpful,complaint
Your support team has been unhelpful,complaint
Why was I billed again for the enterprise plan?,billing
I receive an error while trying to upload files,technical_issue
upload files keeps failing,technical_issue
Please add Slack integration,feature_request
Where is your company located?,other
This has been a terrible experience,complaint
Where can I find documentation?,other
Where is your company located?,other
Can Slack integration be added in a future release?,feature_request
The invoice amount for my monthly package is incorrect,billing
This has been a terrible experience,complaint
The invoice amount for my monthly package is incorrect,billing
Can you support mobile app support?,feature_request
Where is your company located?,other
I am disappointed with the service,complaint
I was charged twice for my enterprise plan in March,billing
Can you support email notifications?,feature_request
I was charged twice for my subscription in March,billing
Where is your company located?,other
Where is your company located?,other
The invoice amount for my premium plan is incorrect,billing
I was charged twice for my premium plan in March,billing
Where can I find documentation?,other
I was charged twice for my premium plan in February,billing
I noticed an unexpected charge on my account,billing
My refund for the monthly package has not arrived,billing
I noticed an unexpected charge on my account,billing
Can mobile app support be added in a future release?,feature_request
How do I contact sales?,other
Can Slack integration be added in a future release?,feature_request
export CSV is not working,technical_issue
I cannot download reports,technical_issue
Your support team has been unhelpful,complaint
What are your business hours?,other
Why was I billed again for the monthly package?,billing
Where can I find documentation?,other
Can mobile app support be added in a future release?,feature_request
I cannot reset my password,technical_issue
The quality of the product is unacceptable,complaint
This has been a terrible experience,complaint
I would like Slack integration,feature_request
Where can I find documentation?,other
download reports keeps failing,technical_issue
Please add email notifications,feature_request
Where can I find documentation?,other
Please add email notifications,feature_request
I noticed an unexpected charge on my account,billing
Do you offer enterprise pricing?,other
Why was I billed again for the premium plan?,billing
Please add email notifications,feature_request
Where can I find documentation?,other
I noticed an unexpected charge on my account,billing
The invoice amount for my monthly package is incorrect,billing
Your support team has been unhelpful,complaint
I am disappointed with the service,complaint
What are your business hours?,other
How do I contact sales?,other
I noticed an unexpected charge on my account,billing
download reports keeps failing,technical_issue
Where is your company located?,other
The invoice amount for my subscription is incorrect,billing
Where is your company located?,other
I receive an error while trying to upload files,technical_issue
I am disappointed with the service,complaint
Where can I find documentation?,other
How do I contact sales?,other
I would like email notifications,feature_request
It would be helpful to have email notifications,feature_request
What are your business hours?,other
My refund for the premium plan has not arrived,billing
Can PDF export be added in a future release?,feature_request
The application crashes when I try to export CSV,technical_issue
I was charged twice for my enterprise plan in February,billing
It would be helpful to have mobile app support,feature_request
The invoice amount for my subscription is incorrect,billing
Why was I billed again for the subscription?,billing
Can you support PDF export?,feature_request
Do you offer enterprise pricing?,other
The quality of the product is unacceptable,complaint
Where can I find documentation?,other
reset my password keeps failing,technical_issue
Do you offer enterprise pricing?,other
The quality of the product is unacceptable,complaint
I am disappointed with the service,complaint
It would be helpful to have Slack integration,feature_request
The quality of the product is unacceptable,complaint
I am very frustrated because the dashboard keeps breaking,complaint
This has been a terrible experience,complaint
Where can I find documentation?,other
I noticed an unexpected charge on my account,billing
The invoice amount for my premium plan is incorrect,billing
Please add email notifications,feature_request
I cannot reset my password,technical_issue
reset my password is not working,technical_issue
I noticed an unexpected charge on my account,billing
I am very frustrated because the product is unreliable,complaint
I was charged twice for my monthly package in March,billing
How do I contact sales?,other
Why was I billed again for the monthly package?,billing
I cannot reset my password,technical_issue
The invoice amount for my monthly package is incorrect,billing
It would be helpful to have mobile app support,feature_request
My refund for the premium plan has not arrived,billing
I receive an error while trying to download reports,technical_issue
Where is your company located?,other
Do you offer enterprise pricing?,other
Can you support dark mode?,feature_request
Your support team has been unhelpful,complaint
I was charged twice for my subscription in March,billing
Where can I find documentation?,other
The invoice amount for my premium plan is incorrect,billing
Where is your company located?,other
download reports keeps failing,technical_issue
Can you support dark mode?,feature_request
What are your business hours?,other
I was charged twice for my premium plan in January,billing
Do you offer enterprise pricing?,other
The application crashes when I try to upload files,technical_issue
How do I contact sales?,other
Do you offer enterprise pricing?,other
upload files is not working,technical_issue
My refund for the monthly package has not arrived,billing
This has been a terrible experience,complaint
The application crashes when I try to upload files,technical_issue
I receive an error while trying to reset my password,technical_issue
This has been a terrible experience,complaint
Can you support Slack integration?,feature_request
Your support team has been unhelpful,complaint
The quality of the product is unacceptable,complaint
Do you offer enterprise pricing?,other
What are your business hours?,other
Where is your company located?,other
login is not working,technical_issue
Do you offer enterprise pricing?,other
I was charged twice for my premium plan in January,billing
Can you support dark mode?,feature_request
How do I contact sales?,other
download reports is not working,technical_issue
Can you support email notifications?,feature_request
download reports is not working,technical_issue
How do I contact sales?,other
How do I contact sales?,other
I am disappointed with the service,complaint
I am disappointed with the service,complaint
Do you offer enterprise pricing?,other
upload files is not working,technical_issue
Can dark mode be added in a future release?,feature_request
The invoice amount for my subscription is incorrect,billing
login keeps failing,technical_issue
My refund for the enterprise plan has not arrived,billing
Can you support dark mode?,feature_request
I receive an error while trying to login,technical_issue
It would be helpful to have Slack integration,feature_request
Your support team has been unhelpful,complaint
Your support team has been unhelpful,complaint
I was charged twice for my enterprise plan in April,billing
I receive an error while trying to download reports,technical_issue
I receive an error while trying to export CSV,technical_issue
My refund for the subscription has not arrived,billing
This has been a terrible experience,complaint
I was charged twice for my premium plan in April,billing
Why was I billed again for the premium plan?,billing
This has been a terrible experience,complaint
Where is your company located?,other
download reports is not working,technical_issue
This has been a terrible experience,complaint
upload files keeps failing,technical_issue
Your support team has been unhelpful,complaint
It would be helpful to have dark mode,feature_request
I would like dark mode,feature_request
Where can I find documentation?,other
The invoice amount for my premium plan is incorrect,billing
download reports keeps failing,technical_issue
Can you support dark mode?,feature_request
How do I contact sales?,other
Do you offer enterprise pricing?,other
I would like mobile app support,feature_request
I was charged twice for my subscription in March,billing
reset my password is not working,technical_issue
upload files keeps failing,technical_issue
login keeps failing,technical_issue
Do you offer enterprise pricing?,other
I would like email notifications,feature_request
The quality of the product is unacceptable,complaint
I was charged twice for my premium plan in March,billing
The quality of the product is unacceptable,complaint
Can you support mobile app support?,feature_request
The invoice amount for my subscription is incorrect,billing
